,precision,recall,f1-score,support
cargo_ship,0.73,0.8690476190476191,0.7934782608695652,336.0
ferry,0.7971887550200804,0.7462406015037594,0.7708737864077669,532.0
fishing_ship,0.7015437392795884,0.8115079365079365,0.7525298988040479,504.0
military,0.6984815618221258,0.575,0.6307541625857003,560.0
order,0.6655518394648829,0.5264550264550265,0.5878877400295421,378.0
rescue_boat,0.851063829787234,0.8465608465608465,0.8488063660477454,378.0
sailing_ship,0.918918918918919,0.9107142857142857,0.9147982062780269,336.0
submarine,0.9702970297029703,1.0,0.9849246231155779,98.0
work_boat,0.7814871016691958,0.8758503401360545,0.8259823576583801,588.0
accuracy,0.7703504043126684,0.7703504043126684,0.7703504043126684,0.7703504043126684
macro avg,0.7905036417405552,0.7957085173250587,0.7900039335329282,3710.0
weighted avg,0.7683970731305717,0.7703504043126684,0.7659983177470147,3710.0
