                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.563,                 3.7384,                 4.0122,                0.00305,                 0.2058,                 0.0039,                 0.0012,                 4.0455,                 4.2755,                 4.4847,             0.00066133,             0.00066133,             0.00066133
                      2,                  3.266,                 3.6186,                 3.4454,                0.00333,                 0.3044,                0.01257,                 0.0042,                 3.3482,                 3.7787,                 3.5311,              0.0013092,              0.0013092,              0.0013092
                      3,                 3.1478,                 3.5594,                 3.2059,                0.00363,                0.33216,                0.00647,                0.00221,                 3.1526,                 3.9151,                 3.2684,              0.0019382,              0.0019382,              0.0019382
                      4,                 3.0589,                 3.5511,                 3.0879,                0.00359,                0.32894,                0.00934,                0.00299,                  3.116,                 3.9794,                 3.1996,              0.0019151,              0.0019151,              0.0019151
                      5,                   3.03,                 3.5393,                  3.037,                0.00417,                 0.3823,                0.00979,                0.00298,                 3.0797,                 3.9085,                 3.0632,              0.0018869,              0.0018869,              0.0018869
                      6,                 2.9515,                 3.5012,                 2.9387,                0.00426,                0.39135,                0.00692,                0.00211,                 3.1532,                  4.034,                 3.1341,              0.0018586,              0.0018586,              0.0018586
                      7,                 2.8587,                  3.463,                 2.8919,                0.00419,                 0.3843,                0.01199,                0.00355,                 3.2427,                 3.9863,                 3.2723,              0.0018303,              0.0018303,              0.0018303
                      8,                 2.7965,                 3.4251,                 2.8303,                0.00439,                0.40285,                0.02646,                0.00726,                 3.1781,                 3.9421,                  3.186,               0.001802,               0.001802,               0.001802
                      9,                 2.7146,                 3.3998,                 2.7777,                 0.0093,                0.03496,                0.00484,                 0.0016,                 3.2733,                   4.67,                 3.3166,              0.0017737,              0.0017737,              0.0017737
                     10,                 2.7006,                   3.36,                 2.7517,                0.00485,                0.44518,                0.01923,                0.00681,                  3.217,                 3.9355,                 3.2995,              0.0017454,              0.0017454,              0.0017454
                     11,                 2.6605,                 3.3408,                 2.7093,                0.00938,                0.02592,                 0.0061,                0.00203,                 3.2237,                 4.2094,                 3.2733,              0.0017171,              0.0017171,              0.0017171
                     12,                 2.6525,                 3.3233,                 2.6803,                0.00499,                0.45208,                0.01451,                 0.0047,                 3.1404,                 3.7524,                 3.1751,              0.0016889,              0.0016889,              0.0016889
                     13,                 2.6159,                 3.2794,                 2.6438,                 0.0113,                0.39043,                0.03392,                0.01247,                 3.1916,                 3.7074,                 3.3886,              0.0016606,              0.0016606,              0.0016606
                     14,                  2.572,                 3.2446,                 2.6118,                0.01651,                0.25242,                0.02279,                0.00827,                 3.1978,                 3.8122,                 3.3493,              0.0016323,              0.0016323,              0.0016323
                     15,                 2.5924,                 3.2245,                 2.6071,                0.01909,                0.30179,                0.03112,                0.01122,                 3.1612,                  3.606,                 3.2576,               0.001604,               0.001604,               0.001604
                     16,                 2.5389,                 3.2174,                 2.5982,                0.03414,                0.20472,                 0.0238,                0.00767,                 3.1386,                 3.7151,                 3.2154,              0.0015757,              0.0015757,              0.0015757
                     17,                 2.5421,                 3.2118,                 2.5643,                0.04705,                0.22129,                0.04398,                0.01635,                 3.1652,                 3.6174,                 3.3984,              0.0015474,              0.0015474,              0.0015474
                     18,                 2.5544,                 3.1931,                 2.5692,                0.01365,                0.38813,                0.02079,                0.00726,                 3.0513,                 3.6831,                 3.1564,              0.0015191,              0.0015191,              0.0015191
